r1,s1,r2,s2,r3,s3,r4,s4,r5,s5,r6,s6,r7,s7,r8,s8,r9,s9,r10,s10
(Ferdinand VI of Spain; spouse; Barbara of Portugal),"[1]Ferdinand was married in 1729 to Infanta Barbara of Portugal, daughter of John V of Portugal and Maria Anna of Austria.",(Elena Paparizou; spouse; Andreas Kapsalis),"[161] On 29 May Paparizou performed ""Angel"" at the final of ""Let's Dance"" in Sweden.Paparizou joined the Swedish summer tour ""Diggiloo"" from 6 June to 15 August with Magnus Carlsson, Martin Stenmarck, Charlotte Perrelli, Andreas Johnson, Björn Kjellman, Hanna Hedlund, Oskar Bly, Jessica Andersson and Magnus Johansson.","(Eduard, Duke of Anhalt; birthPlace; Dessau)","Eduard Georg Wilhelm, Duke of Anhalt (German: Herzog Eduard Georg Wilhelm von Anhalt; 18 April 1861 – 13 September 1918) was a German prince of the House of Ascania and the penultimate ruler of the Duchy of Anhalt from April to September 1918.Eduard was born at Dessau, the capital of the Duchy, in 1861 as the third son of Duke Friedrich I of Anhalt (1831–1904) and his wife Princess Antoinette of Saxe-Altenburg (1838–1908).",(Betsy Brantley; hypernym; Brantley),"She is the older sister of producer/screenwriter Duncan Brantley, and was formerly married to actor Simon Dutton and filmmaker Steven Soderbergh.Betsy studied English at the University of North Carolina, Chapel Hill from 1973 to 1977 and acting at the Central School of Speech and Drama in the United Kingdom from 1977 to 1980.",(James K. Polk; hypernym; President),"[115] Tyler was unsure whether to sign the resolution or leave it for Polk, and sent Calhoun to consult with the President-elect, who declined to give any advice.","(Mike Bost; birthPlace; Murphysboro, Illinois)",[5]Bost ran his family's Murphysboro-based trucking business for ten years.,(Edith Windsor; birthPlace; Pennsylvania),"She was the lead plaintiff in the Supreme Court of the United States case United States v. Windsor, which overturned Section 3 of the Defense of Marriage Act and was considered a landmark legal victory for the same-sex marriage movement in the United States.Windsor was born in Philadelphia, Pennsylvania, to James and Celia Schlain, a Russian Jewish immigrant family of modest means.","(Dennis Boutsikaris; birthDate; December 21, 1952)","Dennis Boutsikaris (born December 21, 1952) is an American character actor who has won the Obie Award twice.",(Ludwig III of Bavaria; hypernym; King),"Ludwig III (Ludwig Luitpold Josef Maria Aloys Alfried; English: Louis Leopold Joseph Mary Aloysius Alfred; 7 January 1845 – 18 October 1921) was the last King of Bavaria, reigning from 1913 to 1918.Ludwig was born in Munich, the eldest son of Prince Luitpold of Bavaria and of his wife, Archduchess Augusta of Austria (daughter of Grand Duke Leopold II of Tuscany).",(Mary I of England; hypernym; Queen),"[95] This style, which had been in use since 1554, was replaced when Philip inherited the Spanish Crown in 1556 with ""Philip and Mary, by the Grace of God King and Queen of England, Spain, France, both the Sicilies, Jerusalem and Ireland, Defenders of the Faith, Archdukes of Austria, Dukes of Burgundy, Milan and Brabant, Counts of Habsburg, Flanders and Tyrol""."
"(Kenneth Patchen; birthPlace; Niles, Ohio)",[27][28] The little street where he lived as a child was renamed Patchen Avenue by the town of Niles.,"(Charles Colson; birthDate; October 16, 1931)","Charles Wendell Colson (October 16, 1931 – April 21, 2012) served as Special Counsel to President Richard Nixon from 1969 to 1970.",(Donald Kohn; spouse; Gail Kohn),"[2] Kohn and his wife, Gail, have two children, Laura Kohn and Jeffrey Kohn.",(Jenny Slate; hypernym; Actress),"[34] Slate went on to win the Critics Choice Award for Best Actress in a Comedy,[35] Best Breakout Performance at the Newport Beach Film Festival, the Virtuosos Award at the Santa Barbara Film Festival, and Best Comedic Actress at the Women Film Circle Awards for her performance in the film.Slate co-starred with Judy Greer and Nat Faxon in the first season of the FX series Married.","(Rachel Hunter; birthDate; September 8, 1969)","Rachel Hunter (born 8 September 1969)[1] is a New Zealand supermodel,[2] actress and the host of Imagination Television's Rachel Hunter's Tour of Beauty.",(Roger Lodge; hypernym; Show),Lodge also occasionally guest-hosts The Jim Rome Show on radio.,(Wendy Hall; ; University of Southampton),She studied for undergraduate and postgraduate degrees in mathematics at the University of Southampton.,(Mary I of England; spouse; Philip II of Spain),"[93] He had no amorous feelings toward Mary and sought the marriage for its political and strategic gains; Philip's aide Ruy Gómez de Silva wrote to a correspondent in Brussels, ""the marriage was concluded for no fleshly consideration, but in order to remedy the disorders of this kingdom and to preserve the Low Countries.","(Paul Buhle; birthPlace; Champaign, Illinois)","He is the authorized biographer of C. L. R. James.Buhle was born in Champaign, Illinois, on September 27, 1944.",(Gary Gygax; spouse; Mary Jo Powell),"He and Mary Jo had been active members of the local Jehovah's Witnesses, but others in the congregation already felt uneasy about Gygax's smoking and drinking; his connection to the ""satanic"" game of D&D caused enough friction that the Gygaxes finally disassociated themselves from Jehovah's Witnesses."
"(Urmila Matondkar; birthDate; February 4, 1974)","Urmila Matondkar (born 4 February 1974), is an Indian film actress, television personality and politician, primarily known for her work in Hindi cinema, in addition to Malayalam, Marathi, Tamil and Telugu language films.",(David Morrissey; spouse; Esther Freud),"[104]Morrissey married his girlfriend of over 13 years, novelist Esther Freud, on 12 August 2006 in a ceremony on Southwold Pier.",(Nicolas Mathieu Rieussec; birthPlace; Paris),"That same year, the young watchmaker began to gain recognition when he was named a Watchmaker to the King in a royal warrant dated January 31, 1817.“On this thirty-first day of January, eighteen hundred and seventeen, the King at Paris, having been made fully aware of the good life and moral conduct of Sieur Nicolas Mathieu Rieussec, and of the distinguished reputation he has acquired in his profession of Watchmaker, desires to confer upon him a mark of his favour and of the protection with which he honours him; for this purpose, His Majesty has granted and does grant him the title of his Watchmaker so that said Sieur Rieussec can enjoy all the honours, prerogatives and other benefits thereunto appertaining; His Majesty desires and intends that he may use said Title at all gatherings and on all public documents […].”In 1817, there were already five Watchmakers to the King in Paris: Lepaute,[1] Le Roy, Lépine, Robin, and Lamygonge.","(Carl Kaestle; birthDate; March 27, 1940)","Carl Frederick Kaestle (born March 27, 1940) is University Professor and Professor of Education, History, and Public Policy emeritus at Brown University.","(Ana Mendieta; birthPlace; Havana, Cuba)","[6]As documented in the book Ana Mendieta: A Book of Works, edited by Bonnie Clearwater, before her death, Mendieta was working on a series of photo-etchings of cave sculptures she had created at Escaleras de Jaruco, Jaruco State Park in Havana, Cuba.",(Ivan III of Russia; birthPlace; Moscow),"[10]The character of the government of Moscow changed significantly under Ivan III, taking on a new autocratic form.",(Klaus Schwab; hypernym; Engineer),"[citation needed]Schwab holds a doctorate in Economics (summa cum laude) from the University of Fribourg, a doctorate in Engineering from the ETH Zurich (Swiss Federal Institute of Technology) and a Master of Public Administration from the John F. Kennedy School of Government at Harvard University.","(Alberto de la Campa y Roff; birthDate; October 28, 1918)","Alberto de la Campa y Roff (28 October 1918 – May 1964) was a Cuban diplomat.Campa served as the Cuban Ambassador to Italy until January 3, 1959, when he resigned when the government of Fidel Castro overthrew Fulgencio Batista.Campa was married to Martha de la Torre y Silva, and they had three children, Adela Maria, Miguel Angel, and Alberto.",(Elizabeth Monroe; spouse; James Monroe),"Furthermore, James or Elizabeth destroyed her correspondence, both between themselves and with others, before her death.James and Elizabeth had three children:After Monroe's terms as president expired, he and Elizabeth faced considerable debts from their years of public service, both from non-reimbursed entertaining expenses and because Monroe was forced to manage their various properties remotely.",(Ludwig III of Bavaria; birthPlace; Munich),"A year later, he entered the Ludwig Maximilians University of Munich, where he studied law and economics."
"(Marie of Brandenburg-Kulmbach; spouse; Frederick III, Elector Palatine)","In 1546, Frederick finally adopted Lutheranism and assumed the administration of the Franconian territories from his brother-in-law Albert Alcibiades, Margrave of Brandenburg-Kulmbach.",(Joanna Rees; hypernym; Venture),"Joanna Rees (born November 14, 1961 in Montclair, New Jersey) is a venture capitalist who founded Venture Strategy Partners and VSP Capital in San Francisco, California.",(Frank N. Ikard; spouse; Jayne Brumley Ikard),"Later, Ikard married the former Jayne Keegan Brumley (c. 1927-2010), a native of Walpole, Massachusetts, a prominent journalist, and the widow of Calvin Brumley, a journalist too, he originally from Hereford, Texas.",(Jimmy Makar; spouse; Patti Makar),"[1]He is married to Patti (Jarrett) Makar, and has two children, Alex and Dillon.","(Jennifer Lanthier; birthPlace; Toronto, Ontario, Canada)","[2][3]Lanthier was born in Toronto, Ontario[1] to father Jim Lanthier and mother Jane McDougall,[4] and spent her early years in Toronto,[5] St. Catharines and Sudbury, Ontario.","(Penny Wright; birthPlace; Red Cliffs, Victoria)","She resigned in September 2015.Wright was born in 1961 at Red Cliffs in the Sunraysia region of Victoria, the sixth of seven children of Lesley and Hugh Wright.",(Royce S. Pitkin; spouse; Helen Kathleen McKelvey),He also wrote a children’s book entitled Maple Sugar Time.Pitkin married Helen Kathleen McKelvey in 1924.,"(Louis Günther II, Prince of Schwarzburg-Rudolstadt; birthPlace; Rudolstadt)","Prince Louis Günther grew up as the thirteenth and youngest child, among seven sisters and three brothers in Rudolstadt (two sisters had already died before he was born).In his youth, Louis Günther traveled to Italy.",(Empress Wanrong; spouse; Puyi),"Puyi was severely reprimanded by the Japanese when the affair was discovered, so he vented his frustration on Wanrong by beating her.",(Reza Shah; hypernym; Shah),"All the worthwhile efforts of Reza Shah's reign were either completed or conceived in the 1925–1938 period, a period during which he required the assistance of reformists to gain the requisite legitimacy to consolidate this modern reign."
"(Ernst Casimir II, 2nd Prince of Ysenburg and Büdingen; birthPlace; Büdingen)","Ernst Casimir was the eldest son and second eldest child of Ernst Casimir I, 1st Prince of Ysenburg and Büdingen and his wife Countess Ferdinande of Erbach-Schönberg.",(Benjamin Netanyahu; birthPlace; Israel),"Netanyahu's office alleged that ""the Obama administration not only failed to protect Israel against this gang-up at the UN, it colluded with it behind the scenes"", adding: ""Israel looks forward to working with President-elect Trump and with all our friends in Congress, Republicans and Democrats alike, to negate the harmful effects of this absurd resolution.",(Benjamin Netanyahu; birthPlace; Israel),"[31] During this period Netanyahu made his first connections with several Israeli politicians, including Minister Moshe Arens, who appointed him as his Deputy Chief of Mission at the Israeli Embassy in Washington, D.C., a position he held from 1982 until 1984.",(Maria I of Portugal; spouse; Peter III of Portugal),"Despite Peter's status as king and the nominal joint reign, the actual regal authority was vested solely in Maria,[citation needed] as she was the lineal heir of the crown.","(Elizabeth Timothy; birthDate; June 30, 1702)","She was the first woman in America to become a newspaper publisher and also the first woman to hold a franchise in America.Timothy (maiden name Elizabeth Villin or Elisabet Vilain) was born in Amsterdam on June 30, 1702.",(Princess Francisca of Brazil; hypernym; Princess),"Musée de la Vie romantique, Paris).Their only daughter Princess Françoise of Orléans married her first cousin Prince Robert, Duke of Chartres and became the mother of the Orléanist pretender Prince Jean, Duke of Guise.",(Choi Myung-gil; birthPlace; South Korea),"Choi Myung-gil (born November 11, 1962) is a South Korean actress.",(Traudl Junge; hypernym; Hitler),[3]Traudl Junge began working for Hitler in December 1942.,"(Tom Conti; birthPlace; Paisley, Renfrewshire)","He was nominated for an Academy Award for Best Actor for the 1983 film, Reuben, Reuben.Conti was born in Paisley, Renfrewshire, the son of hairdressers Mary (née McGoldrick) and Alfonso Conti.",(Anusheh Asad; spouse; Asad Muzaffar),[4]She was a fashion columnist for Daily Times Sunday Magazine for over a year and her article – The Beauty Box claimed immense fame [3] She remained the Editor of High Profile Magazine for almost a yearAnusheh Asad has a popular show on APlus Television named DREAM TEAM - For Your Perfect Wedding.
"(John Frederick, Duke of Brunswick-Lüneburg; hypernym; Duke)","He ruled over the Principality of Calenberg, a subdivision of the duchy, from 1665 until his death.The third son of George, Duke of Brunswick-Lüneburg, John converted to the Roman Catholic Church, the only member of his family to do so, in 1651.","(Brenda Hatfield; birthDate; July 26, 1943)","Dr. Brenda Ann Garibaldi Hatfield (born July 26, 1943) is the former Chief Administrative Officer (CAO) of the City of New Orleans, having served under the administration of former Mayor C. Ray Nagin.Hatfield was appointed to the position of CAO in July 2005, less than a month before Hurricane Katrina.",(A. E. Doyle; hypernym; Architect),"Doyle, Architect.Doyle & Patterson's Revival- and Italianate-style works set the tone for other commercial buildings in Portland, especially the use of glazed terra-cotta.",(John Mica; spouse; Patricia Mica),"[20]Mica was chairman of the House Transportation and Infrastructure Committee from January 3, 2011 to December 2012.Mica is married to Patricia, a schoolteacher, and has two grown children.","(Umberto II of Italy; birthDate; September 15, 1904)",Umberto II (Italian: Umberto Nicola Tommaso Giovanni Maria di Savoia; 15 September 1904 – 18 March 1983) was the last King of Italy.,(Spencer Bachus; spouse; Linda Bachus),"""[53][54]Bachus and his wife, Linda, have been recognized by multiple organizations for their support and contributions to medical research.Bachus has been called a ""champion for cancer patients"";[56] he and Mrs. Bachus were awarded the National Distinguished Advocacy Award for Excellence in Cancer-Fighting Public Policy by The American Cancer Society Cancer Action Network (ACS CAN), the group's highest legislative honor.",(Charles Cheatham Cavanah; birthPlace; North Carolina),"[1] Cavanah attended public schools in North Carolina and in Texas, where he also worked as a store clerk.",(Bristol Palin; hypernym; Speaker),"[30][31]In January 2011, Palin was invited to speak by Washington University in St. Louis as the Keynote Speaker for 'Abstinence in College' at Sexual Responsibility Week.",(James K. Polk; spouse; Sarah Childress Polk),"[29] Sarah Polk remained at home in Columbia during her husband's first year in Congress, but accompanied him to Washington beginning in December 1826; she assisted him with his correspondence, and came to hear James's speeches.",(Auguste of Schleswig-Holstein-Sonderburg-Glücksburg; birthPlace; Glücksburg),Princess Augusta of Schleswig-Holstein-Sonderburg-Glücksburg (27 June 1633 – 26 May 1701) was a Danish-German princess of the senior Glücksburg line of the Duke of Schleswig-Holstein.
"(Henry Louis, Prince of Nassau-Saarbrücken; birthDate; March 9, 1768)","Henry Louis Charles Albert, Prince of Nassau-Saarbrücken (9 March 1768 in Saarbrücken – 27 April 1797[1] near Cadolzburg), was a titular prince of Nassau-Saarbrücken.",(Benjamin Netanyahu; hypernym; Minister),[308]Netanyahu has been noted for his close and friendly relationship with then Italian Prime Minister Silvio Berlusconi.,(Matt Groening; spouse; Deborah Caplan),"[88]Groening and Deborah Caplan married in 1986[25] and had two sons together, Homer (who goes by Will) and Abe,[42] both of whom Groening occasionally portrays as rabbits in Life in Hell.",(Antony Leung; birthPlace; Hong Kong),"[3] He continues to serve as a Senior Adviser to Blackstone and a member of its International Advisory Board.Leung has served as Chairman at Nan Fung Group, the Hong Kong-based property and finance conglomerate, since February 2014.",(Edgar Magnin; hypernym; Rabbi),"Magnin served at the temple for 69 years and was considered one of the most prominent Jewish leaders in the United States,[1] sometimes called the ""Rabbi to the Stars"" because of his close connections to the Hollywood film industry.","(Ruth Payne Burgess; birthDate; October 11, 1865)","Ruth Payne Burgess, (October 11, 1865 in Montpelier, Vermont — March 11, 1934 in New York),[3][4] was a naturalistic painter of portraits, still lifes, and genre work.",(Empress Wanrong; spouse; Puyi),"Due to Puyi's neglect and her loneliness in Manchukuo, Wanrong took to smoking tobacco mixed with small doses of opium as a relaxant.",(Bill Rowling; hypernym; Minister),"Sir Wallace Edward Rowling KCMG PC (/ˈroʊlɪŋ/; 15 November 1927 – 31 October 1995), commonly known as Bill Rowling, was a New Zealand politician who was the 30th Prime Minister of New Zealand from 1974 to 1975.","(Princess Leopoldina of Savoy; birthDate; December 21, 1744)","Princess Leopoldina of Savoy (Leopoldina Maria; 21 December 1744 – 17 April 1807) was a Princess of Savoy and later the Princess of Melfi, as wife of Giovanni Andrea VI Doria-Pamphilj-Landi, (13) Prince of Melfi.",(Bob Hoskins; spouse; his death),[27]On 8 August 2012 Hoskins announced his retirement from acting having been diagnosed with Parkinson's disease in 2011.
(Natalie Portman; hypernym; Actress),"In 2004, Portman was nominated for an Academy Award for Best Supporting Actress and won a Golden Globe Award for playing a mysterious stripper in the romantic drama Closer.The Star Wars prequel trilogy concluded with Star Wars: Episode III – Revenge of the Sith (2005), following which Portman portrayed a wide variety of roles.",(Margrethe II of Denmark; hypernym; Queen),"Her summer residence is Gråsten Palace near Sønderborg, the former home of her mother, Queen Ingrid, who died in 2000.Margrethe is an accomplished painter, and has held many art shows over the years.","(Zaifeng, Prince Chun; hypernym; Prince)","However, she was as intent as ever on thwarting any challenge to her power, and so Prince Chun clearly posed a problem for her.",(Lady Bird Johnson; hypernym; Lady),Lady Bird's tenure as First Lady marked the beginning of the hiring of employees in the East Wing to work specifically on the First Lady's projects.,(Ruth Hanna McCormick; spouse; Joseph M. McCormick),"[5][6] Their stops included Dakota where Hanna stepped in to give a speech for her ill father,[5] and Thomasville, Georgia, where she met her future husband Joseph ""Medill"" McCormick.",(Johann Lamont; birthPlace; Glasgow),"Lamont resigned as Scottish Labour leader in October 2014, making the announcement in a Daily Record interview in which she claimed that senior figures within the UK Labour Party had undermined her attempts to reform the Scottish party, and treated it ""like a branch office of London"".Johann Lamont was born in the Anderston district of Glasgow on 11 July 1957.",(Reza Shah; hypernym; Shah),"Reza Shah's coronation took place much later, on 25 April 1926.",(David Morrissey; birthPlace; Liverpool),"[2] In the years following those films, he had roles in The Reaping (2007) opposite Hillary Swank, Sense and Sensibility (2008), Red Riding (2009), Nowhere Boy (2009) and Centurion (2010) and produced and starred in the crime drama Thorne (2010).Morrissey returned to the stage in 2008 for a run of Neil LaBute's In a Dark Dark House and played the title role in the Liverpool Everyman's production of Macbeth in 2011.",(Benjamin Netanyahu; birthPlace; Israel),"[36] In 2013, Trump made a video endorsing Netanyahu during the Israeli elections saying, ""vote for Benjamin – terrific guy, terrific leader, great for Israel"".Netanyahu has close ties with the congressional leadership of the U.S. Republican Party and with its 2012 presidential candidate, Mitt Romney.",(Thomas G. Waites; birthPlace; Pennsylvania),"He has been a member of the Actors Studio since 1984.Waites was born in Philadelphia, Pennsylvania, the son of Michael and Anne Waites."
(Jun Ji-hyun; birthPlace; Seoul),"The success of her films and television dramas internationally established her as a top Hallyu star.Jun was born in Seoul, South Korea.",(Antony Leung; birthPlace; Hong Kong),[2][3]Leung is currently the Chairman of Nan Fung Group and Chairman and Co-Founder of New Frontier Group.Leung was educated in Hong Kong.,(Mary Ramsey Wood; hypernym; Pioneer),"In 1907, Wood was crowned as the first ""Mother Queen"" of Oregon by former Oregon Senator George Henry Williams and the president of the Oregon Pioneer Association, Joseph D.",(Duke Peter Georgievich of Oldenburg; hypernym; Duke),"Duke George, who had been appointed governor on the Volga, died six month after Peter, his second, was born.",(Nicolas Mathieu Rieussec; hypernym; Watchmaker),"In 1818, he was granted a warrant as Watchmaker to the Royal Furniture Depository.The decade of the 1820s was one of the most prosperous in Nicolas Mathieu Rieussec's life.","(Ardell Brede; birthPlace; Austin, Minnesota)","Prior to being elected, Mayor Brede held numerous positions at the Rochester Methodist Hospital, and the Mayo Clinic of Rochester.Mayor Brede was born on June 23, 1939 in Austin, Minnesota.",(Rose McConnell Long; spouse; Huey Long),She met Huey Long after she won a cake baking contest that he had organized.,"(Mia Hansen-Løve; birthDate; February 5, 1981)","Mia Hansen-Løve (born 5 February 1981) is a French film director, screenwriter, and former actress.",(Ursula Andress; hypernym; Film),"""[30][31]Andress was cast in the title role of She (1965) playing an immortal queen, for Hammer Films and Seven Arts Productions, shot in England and Israel.",(Evelyn Blackmon; hypernym; Realtor),"Jan B. MattinglyEvelyn Kinnison Blackmon (November 2, 1924 – May 21, 2014) was a Realtor from West Monroe, Louisiana, USA, and from 1984 to 1988 a Democratic member of the Louisiana House of Representatives from District 15, the first and thus far only woman to hold that particular legislative seat."
(Leslie Kritzer; birthPlace; New York),"It is unclear if she will move with the show.Kritzer married musical director Vadim Feichtner at New York City Center on February 22, 2013.",(Palden Thondup Namgyal; spouse; Samyo Kushoe Sangideki),"Samyo Kushoe Sangideki died in 1957.In 1963, Namgyal married Hope Cooke, a twenty-two-year-old socialite from New York City, USA; she was a graduate of Sarah Lawrence College in Yonkers in the state of New York.",(Gloria Amon Nikoi; birthPlace; Ghana),"Gloria Adwoa Amon Nikoi, née Addae (6 June 1927[1][2] – 10 November 2010)[3] was as a Ghanaian diplomat who served as the Foreign Minister in 1979 under the Armed Forces Revolutionary Council (AFRC) government.",(Molière; birthPlace; France),"Molière's works continued to garner positive feedback in 18th-century England, but they were not so warmly welcomed in France at this time.","(Margrethe II of Denmark; birthDate; April 16, 1940)","She has been on the Danish throne for 47 years, becoming the second-longest-reigning Danish monarch after her ancestor Christian IV.Princess Margrethe was born 16 April 1940 at Amalienborg in Copenhagen as the first child of the Crown Prince and Crown Princess (later King Frederick IX and Queen Ingrid).",(Johann Lamont; hypernym; Politician),[171]Lamont's decision to question the status quo over the availability of free public services for all earned her the Political Impact of the Year award at the 2012 Herald Scottish Politician of the Year Awards.,"(Fred C. Koch; birthDate; September 23, 1900)","Fred Chase Koch (/ˈkoʊk/; September 23, 1900 – November 17, 1967) was an American chemical engineer and entrepreneur who founded the oil refinery firm that later became Koch Industries, a privately held company which, under the principal ownership and leadership of Koch's sons, Charles and David, is listed by Forbes, as of 2015, as the second-largest privately held company in the United States.","(Rebecca Breeds; birthDate; June 17, 1987)","Rebecca Elizabeth Breeds (born 17 June 1987) is an Australian actress, known for her roles as Cassie Cometti in the third series of Blue Water High, as series regular Ruby Buckton in the soap opera Home and Away, Aurora de Martel in The Originals and as recurring character Nicole in seasons 6 and 7 of Pretty Little Liars.Breeds was born in Sydney.",(A. E. Doyle; spouse; Lucie Godley Doyle),"From 1908 to 1914, he partnered with William B. Patterson, and their firm was known as Doyle & Patterson.Doyle was born in Santa Cruz, California, and moved with his family at a very young age to Portland, Oregon,[1] where he married Lucie Godley (1877–1953) and ultimately established his architectural practice.",(Duke Peter Georgievich of Oldenburg; hypernym; Duke),"In 1844 his second piano concerto was performed for the first time at the Mikhailovsky Palace by the great pianist Clara Schumann, and conducted by his longtime friend and colleague Adolf Henselt.As with most Russian nobility, Duke Peter was a longtime balletomane and patron of the arts."
(Cate Blanchett; spouse; Andrew Upton),"The short was written and directed by her husband, Andrew Upton, and produced by Blanchett and Upton.",(Philippa of England; spouse; Eric of Pomerania),"[4]Philippa left England from Lynn in August 1406 with an entourage of male and female English nobles and arrived in Helsingborg in September, where she was greeted by Eric and Queen Margaret.",(Gwen Raverat; birthPlace; Cambridge),"[4]Apart from her studies at the Slade and the period from 1915 to 1928, which covered her life with Jacques and early widowhood, Raverat lived in or near Cambridge.",(Tso Wong Man-yin; spouse; Tso Wung-Wai),"Marianne Tso Wong Man-yin BBS FRSC (born 30 October 1944, Beijing) is a Hong Kong chemist.Graduated from the Chinese University of Hong Kong, she obtained her master's degree at the University of Miami and doctoral degree at the University of Wisconsin-Madison.",(Ricki-Lee Coulter; birthPlace; Auckland),"She was also a full-time radio presenter for Sydney's Nova 96.9 breakfast show in 2010, alongside Merrick Watts and Scott Dooley.Ricki-Lee Dawn Coulter was born on 10 November 1985 in Auckland, New Zealand.",(Sally Brophy; birthPlace; Arizona),"Sally Cullen Brophy (December 14, 1928 – September 18, 2007) was a Broadway and television actress and college theatre arts professor.Brophy was born in Phoenix, Arizona and was one of seven children.",(Lady Bird Johnson; hypernym; Lady),"""[30]In January–February 1943, during World War II, Lady Bird Johnson spent $17,500 of her inheritance to purchase KTBC, an Austin radio station.",(Qin Yi; spouse; Jin Yan),"Premier Zhou Enlai called her the ""most beautiful woman in China"".Qin Yi was married to Jin Yan, the Korean-born actor known as China's ""Film Emperor"" in the 1930s and 1940s.",(Antony Leung; hypernym; Secretary),"Following his resignation, however, the Fest became mired in controversy regarding the chaotic arrangements made with overseas artists like the Rolling Stones, and the financial relationship between the government and the American Chamber of Commerce in Hong Kong to which inexperienced body had been entrusted the Fest's organisation.Henry Tang, who became Financial Secretary after Leung, said in a TV interview on 29 October 2008 that the contracts between the government and AmCham were signed when Leung was still in office.",(Daniel Hoffman; birthPlace; New York City),"From 1988 to 1999, he served as Poet in Residence at the Cathedral of St. John the Divine in New York City, where he administered the American Poets' Corner.Awards Hoffman has won include the Hazlett Memorial Award, the Aiken Taylor Award for Modern American Poetry from The Sewanee Review, the Memorial Medal of the Maygar P.E.N."
(Cate Blanchett; ; University of Melbourne),[15] She studied economics and fine arts at the University of Melbourne but dropped out after one year to travel overseas.,(Hope Portocarrero; spouse; Anastasio Somoza Debayle),"Hope Portocarrero, also known as Madame Somoza (June 28, 1929 – 5 October 1991) was the First Lady of Nicaragua, the wife of dictator Anastasio Somoza Debayle and mother of Anastasio Somoza Portocarrero.",(Dale Raoul; birthPlace; Montana),"Dale Raoul (born Karen Dale Raoul; August 16, 1956) is an American film and television actress perhaps best known for her role as Maxine Fortenberry, mother of Hoyt Fortenberry, on the HBO television series True Blood.Raoul was born in Missoula, Montana.",(Suharto; spouse; Siti Hartinah),"[11] The couple had six children: Siti Hardiyanti Rukmana (Tutut, born 1949), Sigit Harjojudanto (born 1951), Bambang Trihatmodjo (born 1953), Siti Hediati (""Titiek Suharto"", born 1959), Hutomo Mandala Putra (Tommy, born 1962), and Siti Hutami Endang Adiningish (Mamiek, born 1964).",(James K. Polk; spouse; Sarah Childress Polk),"[268]Polk's will, dated February 28, 1849, a few days before the end of his presidency, contained the nonbinding expectation that his slaves were to be freed when both he and Sarah Polk were dead.","(Delfina Herbosa de Natividad; birthDate; December 20, 1879)","Delfina Rizal Herbosa de Natividad (December 20, 1879 – March 10, 1900) was a Filipino renowned for being one of the three women, together with Marcela Agoncillo and her daughter Lorenza, who seamed together the Philippine flag,[1] and for being the niece of the National Hero of the Philippines, José Rizal.","(Edith Windsor; birthDate; June 20, 1929)","Edith ""Edie"" Windsor[1] (née Schlain; June 20, 1929 – September 12, 2017) was an American LGBT rights activist and a technology manager at IBM.","(Susan Kunze; birthDate; June 6, 1953)","Susan Marie Kunze (born June 6, 1953, in Highland Park, California) is a former second grade teacher in Bishop, California, situated in the foothills of the Sierra Nevada.",(Louisa Boyd Yeomans King; spouse; Francis King),"[2]On 28 June 1890, she married a wealthy Chicago man, Francis King (1862–1927), and moved to Elmhurst, Illinois, near the home of Francis's parents.",(Paul Newman; hypernym; Actor),"Twenty-five years after The Hustler, Newman reprised his role of ""Fast Eddie"" Felson in the Martin Scorsese–directed film The Color of Money (1986), for which he won the Academy Award for Best Actor."
